,ca0,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca9,ca10,ca11,ca12,ca13
0,"[16, 23]","[29, 16]","[4, 23]","[4, 16]","[4, 16]","[29, 16]","[4, 14]","[4, 14]","[4, 16]","[4, 14]","[4, 16]","[4, 16]","[4, 16]","[16, 18]"
1,"[0, 20, 9]","[0, 20, 9]","[15, 0, 20]","[0, 20, 15]","[0, 20, 9]","[0, 9, 12]","[0, 20, 9]","[7, 0, 9]","[20, 9, 17]","[0, 20, 15]","[0, 20, 9]","[0, 20, 9]","[20, 17, 7]","[20, 9, 7]"
2,"[3, 4]","[3, 4]","[2, 3]","[2, 18]","[3, 29]",[3],"[3, 29]","[3, 29]","[3, 29]","[3, 29]","[3, 29]","[3, 29]",[3],[3]
3,"[1, 28, 29]","[27, 1, 28]","[1, 28, 29]","[28, 29, 12]","[1, 6]","[1, 28, 22]","[5, 19, 1]","[20, 1, 6]","[1, 28, 12]","[28, 26]","[1, 28, 12]","[1, 28, 6]","[28, 1, 6]","[1, 28, 6]"
4,"[2, 24, 6]","[2, 24, 6]","[10, 24, 6]","[24, 23, 6]","[2, 24, 23]","[2, 24, 6]","[2, 24, 23]","[2, 24, 23]","[2, 23, 6]","[2, 24, 23]","[24, 23, 6]","[2, 24, 23]","[2, 24, 23]","[24, 2, 23]"
5,"[5, 19]","[5, 19, 18]","[5, 19, 18]","[14, 5, 19]","[5, 19]","[23, 5, 19]","[18, 27]","[13, 16, 18]","[5, 19, 18]","[13, 5, 6]","[5, 19, 18]","[5, 19, 18]","[5, 19]",[5]
6,"[11, 22, 8, 13]","[8, 13, 14]","[8, 13, 14]","[8, 13, 10]","[8, 13, 14]","[8, 13, 14]","[12, 8, 13]","[12, 19]","[8, 13, 14]","[9, 17, 8]","[8, 13, 14]","[8, 13, 14]","[8, 13, 14]","[8, 14, 29]"
7,"[26, 12, 7]","[11, 22, 7]","[11, 22, 7]","[22, 7]","[11, 26, 7]","[4, 11, 7]","[11, 22, 10]","[11, 22, 10]","[11, 22, 7]","[11, 22, 7]","[11, 22]","[25, 11, 22]","[11, 22, 10]","[11, 22, 10]"
8,"[25, 27]","[25, 26]","[25, 26, 27]","[1, 25, 26, 27]","[25, 18, 27]","[25, 18, 27]","[28, 16]","[25, 28, 27]","[25, 26, 27]","[16, 25, 27]","[25, 26, 27]",[26],"[25, 18, 27]","[25, 26, 27]"
9,"[21, 17, 10]","[21, 17, 10]","[21, 9, 17]","[21, 9, 17]","[21, 17, 10]","[21, 17, 10]","[21, 26, 17]","[21, 26, 17]","[21, 10]","[21, 19]","[21, 17, 10]","[17, 10]","[0, 26, 21]","[21, 0]"
